@RELATION	training4000

@ATTRIBUTE	class		{Politics,Economy,Social,Technology}
@ATTRIBUTE	id			NUMERIC
@ATTRIBUTE	content		STRING

@DATA
Politics,583540064984137728,'united states iran and european union leaders working on a deal to limit irans nuclear program took a several-hoã¢â‚¬â¦'
Politics,583540039071604738,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Politics,583539969832067072,'diplomacy until dawn: kerry zarif burn midnight oil: united states iran and european union leaders working o...'
Social,583539967999217665,'promoting uptake of parental and paternity leave among fathers in the european union'
Technology,583539957609934848,'the european union has been investigating for five years allegations that search giant google inc. abuses its...'
Social,583539921077477378,'how can policy makers quickly realise social goals through promotion of #socent? survey 1.000 intern. #socents >>'
Economy,583539607335215104,'new on blogactiv.eu: the challenges of the single market - the european union is a symbol of positive economic...'
Social,583539404771233792,'courtney lawes confident of northampton saints progression in champions cup'
Social,583539038004482048,'#bdnews #bangladesh eu: stand against violent extremists in bangladesh: the european union (eu) has called upo...'
Economy,583538644503396352,'the challenges of the single market the european union is a symbol of positive economic growth and has been so fo'
Technology,583538633816338433,'3novices:europes antitrust case against google -- at a glance \n\nthe european union has been investigating for fiveã¢â‚¬â¦'
Politics,583538489238495232,'the european union election observation mission to nigeria has described president goodluckã¢â‚¬â¦'
Technology,583537813213192192,'the european union is said to have taken steps to file to google on antitrust law: wednesdayã¢â‚¬â¦'
Technology,583537786025676800,'wall street journal: the european union is gearing up to file to googleã¢â‚¬â„¢s antitrustã¢â‚¬â¦'
Social,583535887914500096,'interesting blog by @colinyeo1 on assessing credibility when children apply for asylum in the eu.'
Technology,583535177810505728,'the european union is said to have taken steps to file to google on antitrust law: wednesdayã¢â‚¬â¦'
Politics,583534925367750658,'[36ng] jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534881025593344,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534878756511744,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534878605447169,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534875916898304,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534872041402368,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat @36ngcom'
Politics,583534869294231552,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583534860066656256,'#36ng jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat @36ngcom'
Politics,583534253440270336,'president jonathan had a closed door meeting with members of the european union observers group at the...'
Social,583534020383920128,'hearing on the fight against #terrorism and the challenges for #eu internal #security - 2015.04.14 | @scoopit'
Social,583532764693209088,'courtney lawes confident of northampton saints progression in champions cup'
Social,583532763699085312,'courtney lawes confident of northampton saints progression in champions cup'
Politics,583532496899465216,'the european union election observation mission to nigeria has described president goodluck jonathanã¢â‚¬â„¢s concession ã¢â‚¬â¦'
Politics,583532290350981120,'eu diplomat reiterates support for osce minsk group efforts: the european union (eu) supports the efforts of t...'
Politics,583531079451025408,'@theeconomist if greece cant abide by eu displine seeks help frm russia & china it has no right to stay within european union.'
Politics,583530501832626176,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583530156418998273,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583529832677580800,'jonathan holds meeting with european union observers; hailed as a hero for conceding electã¢â‚¬â¦'
Politics,583529818878185473,'#entertainment. jonathan is an example to the world -- european union: the european union (eu) obs... pls retweet'
Politics,583529275858391040,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583529268329648128,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583529259706093568,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583529251950891008,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat'
Politics,583529224452976640,'jonathan holds meeting with european union observers; hailed as a hero for conceding election defeat...'
Economy,583529029342494720,'the european union - expensive experiment that should never have gone beyond maastricht'
Politics,583528438553649152,'egospelhub | european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢ via @selahafrik'
Politics,583528331611512832,'polls: jonathan an example to the world says eu - the european union (eu) observer mission for... #news #nigeria'
Economy,583528146860802048,'eu - european union business news and information |'
Economy,583527972528861184,'medicinal products in the european union: the legal framework for medicines for human use'
Social,583527317525233664,'[real estate] yemen war is having an \"alarming\" impact on civilians says eu: european union condemned attacks...'
Economy,583526129069338626,'record number of migrants expected to drown in #mediterranean this year | @scoopit #eu #migration #ibm #frontex'
Technology,583525271057338368,'check @werner blog: european union data protection authorities approve amazon web services data processing agreement'
Economy,583525149317668865,'eu reaches tentative deal to cap food-based biofuels - european union lawmakers reached a tentative deal on wednes...'
Politics,583525148130734080,'#specialdelivery: european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Economy,583524882136305664,'eu reaches tentative deal to cap food-based biofuels - european union lawmakers reached a tentative deal on wednes...'
Economy,583524707821031424,'eu reaches tentative deal to cap food-based biofuels - european union lawmakers reached a tentative deal on wednes...'
Politics,583524678444003329,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524662623113216,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524645871099904,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524630138265602,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524614392815616,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524598865494016,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524583136821250,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524566175125504,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524550597484545,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524535040745472,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524518880157697,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524502010667008,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524485992579072,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢'
Politics,583524471811678209,'european union commends jonathan ã¢â‚¬â€œ calls him ã¢â‚¬ëœa shining example for world leadersã¢â‚¬â„¢: the europe... via @selahafrik'
Politics,583524316618297344,'ukraine needs unity of european union ã¢â‚¬â€? poroshenko\n\n\n#ukraine #news #time_ua #kiev #politics #poroshenko #eu #unity'
Social,583524016125685760,'will be speaking about and giving away tips to win european union-erasmus mundus funded mobility program.ã¢â‚¬â¦ [pic] ã¢â‚¬â€?'
Politics,583523254393937921,'#armenia #hrazdan eu diplomat reiterates support for osce minsk group efforts: the european union (eu) support...'
Technology,583522832912482304,'eu cyber alert: cyber security directive held up in face of wild west internet via @scoopit'
Politics,583520702743052288,'belarus strongman balances among war in ukraine putin european union'
Economy,583520606903214080,'all at sea: europeã¢â‚¬â„¢s struggle to cope with growing #migrant crisis | @scoopit #eu #migration #ibm #frontex'
Social,583520400262311936,'yemen war is having an \"alarming\" impact on civilians says eu: european union condemned attacks on ho... #abnews'
Social,583520396810391552,'yemen war is having an \"alarming\" impact on civilians says eu: european union condemned attacks on hospitals...'
Politics,583519668205326336,'european union observers commend jonathan for conceding defeat'
Economy,583519106910986240,'facing backlash from its own supporters syrizas deal with the european union has sparked angry demonstrations...'
Economy,583519102196654080,'council of the european union: stop ecig ban via @ukchange'
Social,583518100240236546,'yemen war is having an \"alarming\" impact on civilians says eu: european union condemned attacks on hospitals...'
Politics,583517508373614592,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517501318770689,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517497506205696,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517490287751168,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517482645716992,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517479206461441,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517475154702336,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583517471623122946,'pme naija: european union observers commend jonathan for conceding defeat'
Politics,583516125704499200,'ukraine needs unity of european union - poroshenko'
Politics,583515688943357952,'ukraine needs unity of european union - poroshenko'
Politics,583515403231436800,'european union observers commend jonathan for conceding defeat: members of the european union observing group...'
Politics,583515401398530048,'european union observers commend jonathan for conceding defeat: members of the european union observing group...'
Politics,583515399712481281,'european union observers commend jonathan for conceding defeat: members of the european union observing group...'
Politics,583515397812420608,'european union observers commend jonathan for conceding defeat: members of the european union observing group...'
Politics,583515395694264320,'european union observers commend jonathan for conceding defeat: members of the european union observing group...'
Politics,583515383262482432,'jonathan an example to the world -- european union'
Technology,583513110180278273,'the european union is reportedly taking steps to file against google over antitrust laws.'
Politics,583512833951977473,'jonathan an example to the world -- european union'
Politics,583512047385649153,'european union policy update: april 2015 re: digital single market energy & climate change ... #mwc15'
Politics,583511238161891328,'president jonathan had a closed door meeting with members of the european union observers group at the...'
Social,583510942169837568,'european union film festival inauguration stills\nmore at \n#actress'
Politics,583510007418859521,'jonathan an example to the world -- european union'
Economy,583509256256761856,'update: news from the eu parliament european union eu affairs and eu entrepreneurship: /via analyticus'
Politics,583509089600348160,'european union commends jonathan for saving nigeria from chaos'
Social,583508796619657216,'#bdnews #bangladesh eu: stand against violent extremists in bangladesh: the european union (eu) has called upo...'
Politics,583507335382966272,'jonathan an example to the world -- european union'
Politics,583507279875612672,'this is going to escalate the tensions between the un and european union with the far right wing groups'
Social,583506980821536770,'the european union is the new roman empire'
Social,583504725171183616,'the objectives of our petition are to:\n\ninform eu (which should know better) that the regime in eritrea is so...'
Politics,583504543666851840,'european union commends jonathan for saving nigeria from chaos'
Economy,583504323637837824,'loopholes and taxation: overseeing a fairer european union #taxation #taxes #loopholes #europeanunion @themarknews'
Economy,583503843268386816,'note from berlin: the european energy union and why germany pushes for more integrated electricity markets\n via @ecfr'
Politics,583503163799412736,'north american union because the european union has worked so well? the march is on to destroy the united states part of usa #pjnet #tcot'
Social,583502358274936832,'the european union has called upon all to stand united against violent extremism in bangladesh.'
Politics,583501816517623808,'#politics european union pledges 1.1 billion euros in aid to syria: ã¢â‚¬â¦ \"very generous.\"\n the european u...'
Technology,583501348697702400,'the european union is reportedly taking steps to file against google over antitrust laws...'
Technology,583500658801823744,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Technology,583497717176868864,'the problem with googles potential $6 billion european union fine - forbes'
Economy,583497233523417090,'mcdonalds under eu scrutiny for tax rulings in luxembourg'
Politics,583496307492261888,'eu observers submit interim report to jonathan: the european union (eu) observers have submitted a ... ..#nigeria'
Technology,583494650134044672,'the european union is reportedly taking steps to file against google over antitrust laws'
Economy,583494074101014528,'buthanasius prop. n. the last of the european union and for the small red acid fruits resembling small plums'
Politics,583493156563357696,'1/2 terming recent murders of bloggers attack on free speech & democracy the european union has called upon all to stand united against'
Politics,583491628142178304,'mqm parliamentarians visit counterparts in the european union via @sharethis'
Technology,583487676449484800,'whoa! there goes goog: the european union is reportedly taking steps to file against google over antitrust laws -'
Social,583487431011205120,'european union says war in #yemen having alarming impact on civilians\n #eu #decisive_storm #?????_?????'
Economy,583486660685488129,'mcdonalds under eu scrutiny for tax rulings in luxembourg... \n via @signalhero #mcdonald #eu #scrutiny #tax #rulings'
Social,583486610907369473,'as a result of postwar migrations there are now more than 20 million muslims living in the european union.'
Social,583485930402619392,'rise of the fourth reich / the european union: via @youtube'
Social,583485526889467905,'uefa take fight against tpo to european commission: paris: uefa and international players union fifpro have lodgedã¢â‚¬â¦'
Social,583485526340018176,'uefa take fight against tpo to european commission: paris: uefa and international players union fifpro have lodgedã¢â‚¬â¦'
Politics,583483020436316160,'polls: jonathan an example to the world says eu - the european union (eu) observer mission for... #news #nigeria'
Economy,583482130077851648,'.@eupasifika & @spc_cps partner to develop pacific #coconut sector - #trade #coconutpasifika'
Technology,583482124302290946,'the european union is reportedly taking steps to file against google over antitrust laws: on wednesday april 1...'
Politics,583481568288702464,'#nigeria2015 european union commends jonathan for saving nigeria from chaos\nthe european union observer group to...'
Social,583479864805560320,'@modhoodie @trutherbot @inceptiontrader the european union is a tool of the nwo and have also nearly outlawed the right to self defense fag'
Technology,583479828654923776,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Technology,583479632218849280,'#technews aws gets the thumbs up from european data privacy watchdog: an assortment of european union data pro...'
Technology,583479322901663744,'the us search giant has been engaged in a five-year-old antitrust investigation with the european union.'
Politics,583479018084675585,'democracyã¢â‚¬â„¢s coming to the european union'
Economy,583477689069240320,'loopholes and taxation: overseeing a fairer european union - by margrethe vestager companies should pay a...'
Politics,583477650162868224,'jonathan has set example for entire world ã¢â‚¬â€œ european union'
Politics,583477399972671489,'jonathan has set example for entire world ã¢â‚¬â€œ european union the european union election observation mission to nigeã¢â‚¬â¦'
Technology,583476636739379200,'#google - the us search giant has been engaged in a five-year-old antitrust investigation with the european union.'
Politics,583475570748612608,'jonathan has set example for entire world ã¢â‚¬â€œ european union -'
Politics,583470882598686720,'agenda - the week ahead 06 ã¢â‚¬â€œ 12 april 2015: external parliamentary activities weeksource : ã‚â© european union 2...'
Politics,583467424445571072,'the law ã¢â‚¬â€? which goes beyond those its fellow european union members have passed ã¢â‚¬â€? would allow for someone to...'
Technology,583466905614200832,'the european union is reportedly taking steps to file against google over antitrust laws: on wednesday april 1...'
Technology,583466190103711744,'the european union is reportedly taking steps to file against google over antitrustã¢â‚¬â¦ #android'
Politics,583465408776146945,'council of the european union: stop eu funding of eritreaã¢â‚¬â„¢s repressive regime \nthe root cause of refu... via @change'
Technology,583465153200459776,'the european union is reportedly taking steps to file against google overã¢â‚¬â¦ #android #google'
Technology,583465018840059904,'the european union is reportedly taking steps to file against google overã¢â‚¬â¦ #android #google'
Economy,583464910647996417,'#greece #alexistspiras #european #ecb #imf\nthe union and the euro are at stakegreece warns eu\n'
Social,583464292147572736,'latina america and north america has trade agreement. so does european union. what stops a large continent like asia to form allies ?'
Social,583464099306053632,'european union says war in yemen having alarming impact on civiliansreally ? | reuters #smartnews'
Economy,583463980116680704,'up to date news from the eu parliament european union eu matters and eu entrepreneurship: /via analyticus'
Politics,583463975255318529,'india china japan vietnam s korea should play vital role in forming one asia in the line of european union..'
Technology,583463616969453569,'the european union is reportedly taking steps to file against google over antitrust laws: on wednesday april 1...'
Technology,583462790590963712,'new study reveals that facebook tracks logged-out users in ã¢â‚¬ëœviolationã¢â‚¬â„¢ of european union law.\nit is already known...'
Technology,583462621396930561,'aws gets eu approval for data replication outside of europe: the european union data protection authorities ha...'
Economy,583461588004282370,'european union ets pushes emissions down five per cent | eco news'
Technology,583461399843774464,'the european union is reportedly taking steps to file against google over antitrust laws'
Economy,583460963317231616,'#greece #alexistspiras #debtcrisis #european #ecb #imf\nthe union and the euro are at stake\n'
Economy,583460919360954370,'unemployment increases in six eu countries: \nso hows the idea of the european union working out?'
Economy,583457077693145089,'council of the european union: stop ecig ban via @ukchange'
Politics,583456062163943424,'#politics democracyã¢â‚¬â„¢s coming to the european union: ã¢â‚¬â¦ (eci). using their voice eu citizens brought important...'
Economy,583455555064356864,'poland is planning on becoming the european unionã¢â‚¬â„¢s fourth-largest milk producer and overtake the uk. #notaprilfools'
Economy,583450789621833728,'ã¢â‚¬å“@gricer09: ã¢â‚¬å“@whattheffacts: poland was the only country in the european union to avoid the recession.ã¢â‚¬? @pkonny65 ?ã¢â‚¬? were good with money.'
Technology,583450401954856962,'report european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Social,583449887238451200,'the european union daily news is out! stories via @haenenst @angelohelwig @gingerw003'
Technology,583449038420254720,'researchers say facebook tracking violates european union privacy law #news #allegation #belgium'
Social,583440710390558720,'@james_p_snell smash the european union and all of quadrants content shall be yours'
Technology,583439313708396544,'#kca #votejkt48id eatweb: europe is getting ready to throw the book at google ã¢â‚¬â€? it could end up with a $6 billion fine: the european union ã¢â‚¬â¦'
Technology,583439114738905088,'the european union is going to file antitrust charges against google in the next few weeks according to a newã¢â‚¬â¦'
Technology,583439099052236800,'europe is getting ready to throw the book at google ã¢â‚¬â€? it could end up with a $6 billion fine: the european union isã¢â‚¬â¦'
Economy,583438787059048448,'@angelojohngage @m_shmurda @theshaggymarlin @akachefben influence european union except about steel association which is a detail.'
Social,583437806011346944,'why the european union (eu) and nato countries are tiptoeing \n'
Technology,583437411197132801,'@lifelockreview european union says leave facebook if you want privacy: privacy has become a valued resource ...'
Politics,583436595577008128,'<3 @johnscrofano: \"direct traffic is the germany of our european union of traffic.\" (re: @garmentory) #analogyftw'
Economy,583435333104246784,'loopholes and taxation: overseeing a fairer european union #perunews'
Technology,583433813520322561,'european union says leave facebook if you want privacy'
Social,583433518484561920,'.@callofduty should check out my @bclaw article on free speech about #modernwarfare2 #flashback #gamer #freespeech'
Economy,583426888950874112,'re: instead of selling to russia france to sell mistral ships to european union:'
Economy,583425639811686400,'member states divided as eu abolishes milk quotas: the european union abolished milk quotas on tuesday after t...'
Social,583424605110591488,'european union says war in yemen having alarming impact on civilians'
Technology,583424441977307136,'europe is getting ready to throw the book at google\n\nthe european union is going to file antitrust charges...'
Technology,583423163016617985,'is uber a taxi service or a mobile-phone app? eu asks - european union regulators reviewing complaints filed by ub...'
Technology,583423138567970817,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583423088299274240,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583422823730937856,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583422654335582208,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Politics,583422606218407937,'polls: jonathan an example to the world says eu - the european union (eu) observer mission for... #news #nigeria'
Technology,583422502736531456,'europe is getting ready to throw the book at google\n\nthe european union is going to file antitrust charges...'
Technology,583422249811759104,'#kca #votejkt48id tomcatberjalan: europe is getting ready to throw the book at google: the european union is going to file antitrust chargeã¢â‚¬â¦'
Technology,583422246024282113,'#kca #votejkt48id jevives: europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422245189591040,'#kca #votejkt48id harsh0402: europe is getting ready to throw the book at google: the european union is going to file a... #startups #inteã¢â‚¬â¦'
Technology,583422244237533184,'#kca #votejkt48id brandoncwhite: europe is getting ready to throw the book at google: the european union is going to file antitrust chargesã¢â‚¬â¦'
Technology,583422225824395264,'europe could file antitrust charges against google within weeks: the european union is going to file antitrust...'
Technology,583422157352349696,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422153518780416,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422151719460864,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422146359099393,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422142869446656,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422140994621440,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583422139081961472,'europe is getting ready to throw the book at google: the european union is going to file a... #startups #internet'
Technology,583422138901663745,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583421798601125890,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583421635065176064,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583421358715076608,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583421306365935616,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583421268776615936,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583421112526057472,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583421111016099840,'#biztrend europe is getting ready to throw the book at google: the european union is going to file antitrust c...'
Politics,583420933949358080,'#politics greek bailout deal by april-end: european union: ã¢â‚¬â¦ before the end of april eu council president do...'
Technology,583420877292883968,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583420689748795395,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Technology,583420685982240769,'europe is getting ready to throw the book at google - the european union is going to file antitrust charges agains...'
Politics,583420683239165952,'germany dominates the eu and will not agree to fundamental reform via @thescepticisle'
Technology,583420663085408259,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583420661869056000,'europe is getting ready to throw the book at google: the european union is going to file antitrust charges aga...'
Technology,583420658299740163,'biznews: europe is getting ready to throw the book at google: the european union ... visit'
Technology,583420652796780544,'#business europe is getting ready to throw the book at google: the european union is going to file antitrust c...'
Technology,583420648984190976,'europe is getting ready to throw the book at google: the european union is going to file antit... #business #news'
Politics,583420638754246656,'well done #teammqm on the european union.\n@wasayjalil @kalame_ghalib @ssamanjay and saif bhai. #na246belongstomqm'
Social,583419887873351680,'kinkyjessica escort has changed thier profile.\n\n+43 650 562 1147\neuropean union escorts'
Politics,583419436796878848,'mqm parliamentarians visit counterparts in the european union'
Technology,583418702634201088,'competition commission probing music-streaming services: the european unionã¢â‚¬â„¢s competition commission has launc...'
Politics,583418138588385280,'#politics european union fast facts: ã¢â‚¬â¦ know about the european union.\n about the european union:\n ...'
Politics,583416649090338817,'report: european unions top antitrust authority laying groundwork for charges ... - breakingnew #donoeviltravel'
Politics,583415741669625856,'the u.s and european union may want to save crimeans from themselves. but the crimeans are happy right where they are'
Technology,583415674195816449,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Social,583414833040723968,'jihadism is anti-nationalism. idea that matters is a border-less new world order. fairly modern ideology e.g european union.\n#isis\n#alqaeda'
Technology,583413496257388544,'3novices:uber hits back in europe ride sharing service files complaints with the european union against france geã¢â‚¬â¦'
Politics,583412655777517568,'european union fast facts #news'
Technology,583412178272690176,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Technology,583412172744626176,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Politics,583411594442498048,'the european union observer group to the 2015 general elections in nigeria has described president goodluck...'
Politics,583411351378386944,'mqm parliamentarians visit counterparts in the european union\n via @sharethis'
Politics,583408821206257664,'nice one malta! the law ã¢â‚¬â€? which goes beyond those its fellow european union members have passed ã¢â‚¬â€? would allowã¢â‚¬â¦'
Social,583408409602609152,'@cheekylatte @polleetickle the european union. #andsoitbegins...'
Technology,583408354782879744,'the ride-hailing company says france germany and spain broke european union laws by trying to ban its service.'
Politics,583408252118904832,'european union observers meet president jonathan laud him for concession'
Technology,583408039736152064,'report: european unions top antitrust authority laying groundwork for charges against google source says - 14 minutes ago'
Technology,583407931288354816,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Technology,583407778426818560,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj #breakingnews'
Technology,583407139537850368,'report: european unions top antitrust authority laying groundwork for charges against google source #breaking-news'
Technology,583406523235307521,'3novices:uber hits back in europe ride sharing service files complaints with the european union against france geã¢â‚¬â¦'
Technology,583406449902125056,'alert: report: european unions top antitrust authority laying groundwork for charges against google source says - wsj ã¢â‚¬â¦'
Politics,583406443799379968,'#breakingnews report: european unions top antitrust authority laying groundwork for charã¢â‚¬â¦'
Technology,583406437222715392,'report: european unions top antitrust authority laying groundwork for charges against google source says - wsj'
Technology,583406405153067008,'report: european unions top antitrust authority laying groundwork for charges against google source says - wsj'
Technology,583406062826553344,'report: european unions top antitrust authority laying groundwork for charges against google source says - wsj:'
Politics,583405520788258817,'britain and the european union: the brexit dilemma - why does the economist not support the liberal democrats?'
Politics,583405507651612672,'european union observers meet president jonathan laud him for concession - newswire'
Technology,583405395865108480,'report: european unions top antitrust authority laying groundwork for charges against google source says - @wsj'
Social,583404693738672128,'@simonrug its a hard sell - \"european @erchallengecup at risk of becoming rugby johnstoneã¢â‚¬â„¢s paint trophy\"'
Social,583404543679016961,'@asxiab is the us and the european union fascists? yes. im from denmark and i support putin!'
Politics,583404162227965952,'european union fast facts: the new members are poland the czech republic slovakia cyprus estonia hungary...'
Politics,583403767942422530,'european union fast facts: the new members are poland the czech republic slovakia cyprus estonia hungary...'
Politics,583403617337618432,'european union fast facts'
Politics,583403512626806784,'voh malawi was thrilled with a surprise visit from the european union delegation to malawi last week!'
Politics,583402605784760322,'germany dominates the eu and will not agree to fundamental reform via @thescepticisle'
Politics,583401420721913856,'why favour a skilled person from the #european_union over a more skilled person from #africa or #australia? stop this madness. #voteukip2015'
Politics,583401188957102082,'european union fast facts'
Politics,583399811522535424,'european union fast facts: ã¢â‚¬â¦ to restore stability to the central african republic.\n presidencies of th...'
Social,583399568315920384,'the 2015 european union film pageant ã¢â‚¬â€œ phase 10'
Politics,583399519691214848,'european union fast facts'
Politics,583398965753683968,'european union observers meet president jonathan laud him for concession @newswirengr'
Politics,583398702963757059,'european union observers meet president jonathan laud him for concession'
Politics,583398587444387840,'new post: \"european union observers meet president jonathan laud him for concession\"'
Politics,583398478161711105,'european union fast facts'
Politics,583398464752521216,'european union fast facts'
Politics,583398457320153088,'european union fast facts'
Politics,583398454384177152,'european union fast facts'
Politics,583398453188767744,'european union fast facts'
Social,583398448143020032,'london irish: scott steele looking to get one over former school pal when exiles take on edinburgh in european...'
Politics,583398398667202560,'european union observers meet president jonathan laud him for concession'
Politics,583398219297587200,'european union observers meet president jonathan laud him for concession'
Politics,583398216235753472,'european union observers meet president jonathan laud him for concession'
Politics,583398213220077568,'[newswire] european union observers meet president jonathan laud him for concession'
Politics,583398209092890625,'european union observers meet president jonathan laud him for concession'
Politics,583398020449873920,'britain and the european union: the brexit dilemma'
Politics,583397711539408896,'european union observers meet president jonathan laud him for concession'
Politics,583397169450905601,'the european union building a federal army under our noses which threatens our neutrality wake up ireland @disildoforus @tonightwithvinb'
Politics,583396821982121984,'new: european union fast facts [link removed] #follow ([link removed]) world_latest go to [link removed] and make free #money #world world_ã¢â‚¬â¦'
Social,583396667468210176,'man is fundamentally ignoring of the european union unfortunately #vinb'
Social,583396511188262913,'@masoodusaf @aamnataseer now official he wz 23. propaganda by european union n sm pseudoliberal traitors.'
Politics,583395001373044737,'european union fast facts - kpax-tv'
Economy,583394994272120833,'ã¢â‚¬å“@whattheffacts: poland was the only country in the european union to avoid the recession.ã¢â‚¬? @pkonny65 ?'
Politics,583393695107522560,'european union fast facts'
Politics,583393428488105986,'european union fast facts: the new members are poland the czech republic slovakia cyprus estonia hungary...'
Politics,583392859170144256,'new: european union fast facts [link removed] #follow ([link removed]) world_latest go to [link removed] and make free #money #world'
Politics,583392558471979008,'european union fast facts: the new members are poland the czech republic slovakia cyprus estonia hungary...'
Politics,583392491379916801,'#breaking #news european union fast facts'
Politics,583392482785792000,'#cnn #news european union fast facts: \n \n #world'
Politics,583392473843544064,'european union fast facts: \n \n'
Politics,583392431342653440,'#yoan european union fast facts: \n \n #yoan'
